Date,Open,High,Low,Close,Volume
2025-11-07,367.94,370.42,366.42,368.31,11060358
2025-11-10,375.93,378.66,374.7814,378.38,13456212
2025-11-11,379.98,380.4,376.87,379.87,10753182
2025-11-12,380.07,387.46,379.44,385.99,16203718
2025-11-13,387.29,388.18,381.21,382.87,15867869
2025-11-14,372.87,378.2,370.89,375.96,15198027
2025-11-17,374.035,375.4553,368.52,371.65,13295248
2025-11-18,374.832,375.54,371.62,374.35,7818783
2025-11-19,377.775,380.17,373.03,374.96,10980420
2025-11-20,375.29,377.6925,371.8514,374.85,10506548
2025-11-21,374.025,377.23,372.94,374.27,13194563
2025-11-24,374.88,380.28,374.19,380.2,10085318
2025-11-25,380.255,382.52,378.06,380.08,10462806
2025-11-26,381.055,383.775,380.46,383.12,9184071
2025-11-28,385.98,388.0,384.99,387.88,7175407
2025-12-01,390.61,390.7001,388.0605,389.75,11177072
2025-12-02,388.87,388.98,382.9103,387.24,8103923
2025-12-03,388.46,390.1293,385.83,386.88,7886793
2025-12-04,386.92,388.0,385.4,387.13,6754434
2025-12-05,389.12,391.735,386.175,386.44,9449808
2025-12-08,387.02,387.2418,384.01,385.42,6766623
2025-12-09,385.62,388.21,385.27,387.4,6002824
2025-12-10,385.95,389.76,384.5,389.05,9120475
2025-12-11,389.02,394.09,388.5,393.24,11240629
2025-12-12,399.155,400.39,391.47,395.44,16792059
2025-12-15,397.76,398.71,394.0738,395.8,11345031
2025-12-16,397.75,398.71,394.59,395.89,9201557
2025-12-17,398.08,399.98,397.25,399.29,10456889
2025-12-18,398.28,402.21,396.05,398.57,11837551
2025-12-19,397.92,400.63,397.17,399.02,9894767
2025-12-22,406.98,408.52,405.72,408.23,14202068
2025-12-23,410.3,413.76,407.1,413.64,13193258
2025-12-24,412.25,412.63,408.83,411.93,6718437
2025-12-26,416.48,418.45,414.75,416.74,10476234
2025-12-29,403.66,403.76,395.33,398.6,20679239
2025-12-30,403.6,403.8,398.56,398.89,10179028
2025-12-31,398.6,400.13,395.59,396.31,10194738
2026-01-02,401.62,401.82,396.25,398.28,10372572
2026-01-05,406.39,409.72,406.15,408.76,13410637
2026-01-06,410.67,413.48,410.31,413.18,11640912
2026-01-07,408.63,410.81,406.65,409.23,10589452
2026-01-08,406.965,411.64,406.4,411.49,8705926
2026-01-09,413.215,415.29,411.8,414.47,14011238
2026-01-12,421.52,425.74,421.52,422.23,20904133
2026-01-13,424.59,426.12,420.07,421.63,16681219
2026-01-14,426.03,426.86,422.84,425.94,18305538
2026-01-15,423.02,425.06,422.79,423.33,14253249
2026-01-16,422.8,424.8,417.04,421.29,20951571
2026-01-20,436.69,438.1399,434.1,437.23,21071562
2026-01-21,446.87,447.9999,437.11,443.6,38830228
2026-01-22,443.84,452.98,443.56,451.79,19251185
2026-01-23,454.11,458.75,453.45,458.0,21531873
2026-01-26,466.78,469.28,460.36,464.7,34155974
2026-01-27,465.07,476.49,463.95,476.1,27056993
2026-01-28,483.39,495.88,481.2501,494.56,44154580
2026-01-29,509.51,509.7,468.51,495.9,69970856
2026-01-30,466.245,470.06,430.8,444.95,86593519
2026-02-02,434.01,440.78,422.55,427.13,41626234
2026-02-03,452.63,459.0,448.31,454.29,28255847
2026-02-04,462.47,463.1,445.71,453.97,24427923
2026-02-05,444.29,450.9,440.35,441.88,17718069
2026-02-06,450.73,456.93,450.03,455.46,12663907
2026-02-09,461.39,467.56,460.85,467.03,12330874
2026-02-10,465.96,466.75,459.52,462.4,7861589
2026-02-11,466.0,468.61,462.82,467.63,11209595
2026-02-12,464.9,466.38,448.06,451.39,20488829
2026-02-13,459.73,463.8399,456.25,462.62,12359348
2026-02-17,450.26,451.37,445.53,448.2,10976087
2026-02-18,455.81,460.51,455.324,458.28,10226301
2026-02-19,457.34,461.505,456.03,459.56,8411438
2026-02-20,463.25,468.62,458.34,468.62,14316250
2026-02-23,474.65,481.46,474.61,481.28,17441572
2026-02-24,470.085,475.44,469.55,474.61,14147095
2026-02-25,475.74,479.53,472.9,473.42,12954283
2026-02-26,474.95,477.83,442.04,477.48,12375047
2026-02-27,480.75,483.9,479.11,483.75,16795079
2026-03-02,490.095,492.15,483.28,490.0,19916577
2026-03-03,472.83,473.2,458.93,468.14,22591538
2026-03-04,474.82,476.415,469.39,471.8,9985887
2026-03-05,470.45,470.67,463.91,466.13,11674826
2026-03-06,469.04,475.46,467.07,473.51,10489815
2026-03-09,468.09,472.68,464.79,472.53,8829848
2026-03-10,479.74,481.31,474.21,477.86,9616837
2026-03-11,476.13,477.45,473.13,476.24,7522851
2026-03-12,475.02,475.02,466.6,466.88,11900580
2026-03-13,469.31,470.102,460.22,460.84,11741579
2026-03-16,461.265,462.8,456.905,460.43,8964093
2026-03-17,460.51,462.21,456.87,459.27,7610091
2026-03-18,446.66,450.06,444.39,444.74,18375612
2026-03-19,420.36,428.2677,416.8,426.41,30205977
2026-03-20,428.09,428.59,411.23,413.38,27204938
2026-03-23,405.12,414.54,399.6401,404.04,36796839
2026-03-24,400.24,407.29,399.2,404.13,17478516
2026-03-25,419.705,420.66,412.25,416.29,15713158
2026-03-26,408.53,411.37,400.26,400.64,15756339
2026-03-27,406.2,418.4,405.41,414.7,16580719
2026-03-30,419.54,420.1,412.66,414.58,13172067
2026-03-31,420.075,430.57,419.59,430.29,14534303
2026-04-01,435.0,440.19,433.76,437.82,14133118
2026-04-02,422.29,431.67,421.17,429.41,10838639
